season,ol_war_v5_rank,player,player_id,team,team_name,position,snap_counts_offense,snap_counts_pass_block,snap_counts_run_block,grades_offense,grades_pass_block,grades_run_block,allocated_pass_epa,allocated_rush_epa,pff_grade_value_epa,negative_event_epa,position_adjustment_epa,ol_total_epa_v5,ol_war_v5,penalties,sacks_allowed,pressures_allowed,total_pass_epa_clean,total_rush_epa,pass_block_grade_pct,run_block_grade_pct,final_ol_war_rank,negative_event_epa_v3,final_ol_epa,final_ol_war,pass_block_modifier,run_block_modifier
2022,1.0,Creed Humphrey,59996.0,KC,KC,C,1138,769,369,90.0,79.7,91.1,48.341,-0.246,42.444,4.7,-2.13,71.624,1.592,4,0,18,210.525,-1.069,0.95,1.0,,,,,,
2022,2.0,Jason Kelce,6343.0,PHI,PHI,C,1149,653,496,88.3,82.0,89.1,24.297,12.838,43.662,5.65,-2.13,66.943,1.488,8,0,11,113.962,60.599,0.975,0.975,,,,,,
2022,3.0,Joe Thuney,10712.0,KC,KC,G,999,675,324,77.3,89.6,65.8,43.151,-0.197,32.982,4.25,1.874,62.772,1.395,2,1,15,210.525,-1.069,1.0,0.731,,,,,,
2022,4.0,Isaac Seumalo,10713.0,PHI,PHI,G,1135,653,482,75.2,79.1,69.5,23.715,11.828,33.456,7.0,1.874,57.944,1.288,6,1,20,113.962,60.599,0.904,0.821,,,,,,
2022,5.0,Chris Lindstrom,46692.0,ATL,ATL,G,1047,517,530,95.0,81.7,93.1,12.452,5.127,40.289,4.35,1.874,52.28,1.162,2,2,9,49.944,22.085,0.962,1.0,,,,,,
2022,6.0,Lane Johnson,7786.0,PHI,PHI,T,972,551,421,83.2,89.8,73.5,20.504,10.107,29.683,4.35,1.055,51.873,1.153,6,0,9,113.962,60.599,0.975,0.759,,,,,,
2022,7.0,Joel Bitonio,8670.0,CLE,CLV,G,1172,667,505,87.5,80.2,84.4,12.367,3.225,42.257,6.0,1.874,50.631,1.125,4,1,20,52.725,13.621,0.923,0.987,,,,,,
2022,8.0,Trent Williams,5529.0,SF,SF,T,871,466,405,93.0,87.6,92.9,27.168,0.594,32.539,6.75,1.055,47.814,1.063,7,1,15,147.418,3.021,0.938,1.0,,,,,,
2022,9.0,Landon Dickerson,41712.0,PHI,PHI,G,1094,614,480,67.3,76.8,65.3,21.856,11.35,25.372,10.7,1.874,44.289,0.984,14,1,18,113.962,60.599,0.846,0.718,,,,,,
2022,10.0,Zack Martin,8651.0,DAL,DAL,G,1143,628,515,73.3,81.2,64.8,16.916,1.125,30.351,2.9,1.874,43.137,0.959,1,0,16,65.137,4.827,0.936,0.705,,,,,,
2022,11.0,Andrew Thomas,59701.0,NYG,NYG,T,1049,619,430,89.1,88.8,80.0,16.269,-0.186,37.153,7.15,1.055,43.074,0.957,2,3,21,65.383,-0.768,0.963,0.914,,,,,,
2022,12.0,Orlando Brown Jr.,46227.0,KC,KC,T,1133,769,364,75.8,77.2,69.1,44.912,-0.214,18.945,14.05,1.055,39.42,0.876,6,4,47,210.525,-1.069,0.741,0.642,,,,,,
2022,13.0,Robert Hunt,46139.0,MIA,MIA,G,1055,675,380,73.7,74.0,76.2,26.715,0.423,28.092,11.65,1.874,38.775,0.862,11,3,21,116.689,1.881,0.782,0.923,,,,,,
2022,14.0,Mike Onwenu,27357.0,NE,NE,G,1044,634,410,79.3,83.1,73.1,10.314,-4.29,37.516,4.1,1.874,38.736,0.861,2,1,14,40.414,-17.22,0.974,0.91,,,,,,
2022,15.0,Frank Ragnow,39137.0,DET,DET,C,1074,627,447,77.9,68.9,78.9,33.098,-3.115,23.889,4.95,-2.13,38.518,0.856,4,1,13,150.561,-15.185,0.7,0.888,,,,,,
2022,16.0,Trey Smith,62960.0,KC,KC,G,1039,697,342,71.5,69.0,69.7,39.131,-0.216,16.977,9.8,1.874,38.183,0.849,6,2,32,210.525,-1.069,0.635,0.846,,,,,,
