season,player_id,player_name,team,teams,unit,position_group,war_model,raw_epa,final_epa,raw_war,final_war,rank,volume,volume_type,efficiency,success_rate,source_file,model_version,player_key
2022,59996.0,Creed Humphrey,KC,KC,OL,C,OL WAR v5,71.624,71.624,1.592,1.592,1,1138,offensive_snaps,0.001398945518453427,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,59996
2022,6343.0,Jason Kelce,PHI,PHI,OL,C,OL WAR v5,66.943,66.943,1.488,1.488,2,1149,offensive_snaps,0.0012950391644908617,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,6343
2022,10712.0,Joe Thuney,KC,KC,OL,G,OL WAR v5,62.772,62.772,1.395,1.395,3,999,offensive_snaps,0.0013963963963963964,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,10712
2022,10713.0,Isaac Seumalo,PHI,PHI,OL,G,OL WAR v5,57.944,57.944,1.288,1.288,4,1135,offensive_snaps,0.0011348017621145374,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,10713
2022,46692.0,Chris Lindstrom,ATL,ATL,OL,G,OL WAR v5,52.28,52.28,1.162,1.162,5,1047,offensive_snaps,0.0011098376313276026,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46692
2022,7786.0,Lane Johnson,PHI,PHI,OL,T,OL WAR v5,51.873,51.873,1.153,1.153,6,972,offensive_snaps,0.0011862139917695473,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,7786
2022,8670.0,Joel Bitonio,CLE,CLE,OL,G,OL WAR v5,50.631,50.631,1.125,1.125,7,1172,offensive_snaps,0.0009598976109215017,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,8670
2022,5529.0,Trent Williams,SF,SF,OL,T,OL WAR v5,47.814,47.814,1.063,1.063,8,871,offensive_snaps,0.0012204362801377727,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,5529
2022,41712.0,Landon Dickerson,PHI,PHI,OL,G,OL WAR v5,44.289,44.289,0.984,0.984,9,1094,offensive_snaps,0.0008994515539305301,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,41712
2022,8651.0,Zack Martin,DAL,DAL,OL,G,OL WAR v5,43.137,43.137,0.959,0.959,10,1143,offensive_snaps,0.0008390201224846894,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,8651
2022,59701.0,Andrew Thomas,NYG,NYG,OL,T,OL WAR v5,43.074,43.074,0.957,0.957,11,1049,offensive_snaps,0.0009122974261201144,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,59701
2022,46227.0,Orlando Brown Jr.,KC,KC,OL,T,OL WAR v5,39.42,39.42,0.876,0.876,12,1133,offensive_snaps,0.0007731685789938217,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46227
2022,46139.0,Robert Hunt,MIA,MIA,OL,G,OL WAR v5,38.775,38.775,0.862,0.862,13,1055,offensive_snaps,0.0008170616113744076,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46139
2022,27357.0,Mike Onwenu,NE,NE,OL,G,OL WAR v5,38.736,38.736,0.861,0.861,14,1044,offensive_snaps,0.0008247126436781609,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,27357
2022,39137.0,Frank Ragnow,DET,DET,OL,C,OL WAR v5,38.518,38.518,0.856,0.856,15,1074,offensive_snaps,0.0007970204841713221,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,39137
2022,62960.0,Trey Smith,KC,KC,OL,G,OL WAR v5,38.183,38.183,0.849,0.849,16,1039,offensive_snaps,0.0008171318575553416,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,62960
2022,46216.0,Connor Williams,MIA,MIA,OL,C,OL WAR v5,35.549,35.549,0.79,0.79,17,1056,offensive_snaps,0.0007481060606060607,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46216
2022,7032.0,Kevin Zeitler,BAL,BAL,OL,G,OL WAR v5,35.266,35.266,0.784,0.784,18,955,offensive_snaps,0.0008209424083769634,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,7032
2022,10855.0,Ted Karras,CIN,CIN,OL,C,OL WAR v5,34.19,34.19,0.76,0.76,19,1100,offensive_snaps,0.0006909090909090909,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,10855
2022,66578.0,Alex Cappa,CIN,CIN,OL,G,OL WAR v5,33.06,33.06,0.735,0.735,20,1086,offensive_snaps,0.0006767955801104972,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,66578
2022,81788.0,Penei Sewell,DET,DET,OL,T,OL WAR v5,32.677,32.677,0.726,0.726,21,1142,offensive_snaps,0.0006357267950963222,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,81788
2022,11117.0,Jake Brendel,SF,SF,OL,C,OL WAR v5,31.836,31.836,0.707,0.707,22,1078,offensive_snaps,0.0006558441558441558,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,11117
2022,47013.0,Kolton Miller,LV,LV,OL,T,OL WAR v5,31.5,31.5,0.7,0.7,23,1035,offensive_snaps,0.0006763285024154589,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,47013
2022,77373.0,Christian Darrisaw,MIN,MIN,OL,T,OL WAR v5,30.028,30.028,0.667,0.667,24,853,offensive_snaps,0.0007819460726846425,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,77373
2022,10650.0,Taylor Decker,DET,DET,OL,T,OL WAR v5,28.089,28.089,0.624,0.624,25,1142,offensive_snaps,0.0005464098073555166,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,10650
2022,8796.0,Corey Linsley,LAC,LAC,OL,C,OL WAR v5,28.088,28.088,0.624,0.624,26,858,offensive_snaps,0.0007272727272727272,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,8796
2022,8641.0,Jake Matthews,ATL,ATL,OL,T,OL WAR v5,27.5,27.5,0.611,0.611,27,1047,offensive_snaps,0.0005835721107927412,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,8641
2022,46854.0,Brian O'Neill,MIN,MIN,OL,T,OL WAR v5,27.457,27.457,0.61,0.61,28,1052,offensive_snaps,0.0005798479087452471,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46854
2022,66916.0,Jordan Mailata,PHI,PHI,OL,T,OL WAR v5,24.739,24.739,0.55,0.55,29,1024,offensive_snaps,0.000537109375,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,66916
2022,11813.0,Ethan Pocic,CLE,CLE,OL,C,OL WAR v5,24.383,24.383,0.542,0.542,30,819,offensive_snaps,0.0006617826617826618,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,11813
2022,46735.0,Kevin Dotson,PIT,PIT,OL,G,OL WAR v5,23.609,23.609,0.525,0.525,31,1160,offensive_snaps,0.00045258620689655175,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,46735
2022,11818.0,Dion Dawkins,BUF,BUF,OL,T,OL WAR v5,23.218,23.218,0.516,0.516,32,953,offensive_snaps,0.0005414480587618048,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,11818
2022,45576.0,James Daniels,PIT,PIT,OL,G,OL WAR v5,22.547,22.547,0.501,0.501,33,1160,offensive_snaps,0.0004318965517241379,,ol_war_2022_2024_final_v5.csv,offensive_war_v1_2022_2025,45576
