season,player_id,player_name,position_group,receiving_epa,targets,receptions,receiving_successes,receiving_yards,receiving_tds,air_epa,yac_epa,air_yards,yards_after_catch,primary_team,teams,rushing_epa,carries,rushing_successes,rushing_yards,rushing_tds,total_epa,opportunities,touches,total_successes,war,epa_per_opportunity,epa_per_touch,success_rate,qualified_skill,raw_war_rank,qualified_war_rank,role_replacement_war,role_replacement_epa,raw_skill_war,raw_skill_epa,role_adjusted_skill_war,role_adjusted_skill_epa,role_adjusted_skill_war_rank,team,pff_player_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,is_te_pff_match,role_adjusted_skill_war_pre_te_block_adj,role_adjusted_skill_epa_pre_te_block_adj,war_pre_te_block_adj,total_epa_pre_te_block_adj
2022,00-0036613,J.Waddle,Pass Catcher,75.9575872573306,118.0,75.0,66.0,1356.0,8.0,114.95027976967592,-38.04569251234531,1415.0,510.0,MIA,MIA,1.9743942550267093,3.0,3.0,26.0,0.0,77.93198151235731,121.0,78.0,69.0,1.731821811385718,0.6440659629120439,0.999127968107145,0.5702479338842975,True,1,1,0.1085595301897872,4.885178858540427,1.731821811385718,77.93198151235731,1.6232622811959307,73.04680265381688,1,,,,,,,,0.0,0.0,0.0,0.0,False,1.6232622811959307,73.04680265381688,1.731821811385718,77.93198151235731
2022,00-0036322,J.Jefferson,Pass Catcher,75.37003681422581,185.0,128.0,109.0,1821.0,8.0,147.401575107564,-73.08453829333817,1867.0,613.0,MIN,MIN,1.8020315199973995,3.0,2.0,16.0,1.0,77.17206833422321,188.0,131.0,111.0,1.714934851871627,0.4104897251820383,0.5890997582765131,0.5904255319148937,True,2,2,0.1085595301897872,4.885178858540427,1.714934851871627,77.17206833422321,1.6063753216818395,72.28688947568278,2,,,,,,,,0.0,0.0,0.0,0.0,False,1.6063753216818395,72.28688947568278,1.714934851871627,77.17206833422321
2022,00-0031588,S.Diggs,Pass Catcher,75.10441460938806,154.0,108.0,93.0,1429.0,11.0,137.2843464476464,-62.179931838258334,1729.0,419.0,BUF,BUF,-1.292416772339493,1.0,0.0,-3.0,0.0,73.81199783704857,155.0,109.0,93.0,1.6402666186010793,0.4762064376583778,0.6771742920830144,0.6,True,3,3,0.1085595301897872,4.885178858540427,1.6402666186010793,73.81199783704857,1.531707088411292,68.92681897850814,3,,,,,,,,0.0,0.0,0.0,0.0,False,1.531707088411292,68.92681897850814,1.6402666186010793,73.81199783704857
2022,00-0030506,T.Kelce,Pass Catcher,66.03688670637527,153.0,110.0,93.0,1340.0,12.0,68.24618177089724,-3.262295064521963,1074.0,657.0,KC,KC,0.4886597059667109,2.0,2.0,5.0,0.0,68.25071052612753,155.0,112.0,95.0,1.5166824561361676,0.4291970736280128,0.5939780929673392,0.6129032258064516,True,4,4,0.1085595301897872,4.885178858540427,1.4783454758298218,66.52554641234198,1.40812292594638,63.36553166758711,4,,Travis Kelce,61.2,292.0,457.0,True,0.6844660194174758,0.6389496717724289,0.06,0.03833698030634573,1.725164113785558,True,1.3697859456400343,61.64036755380155,1.4783454758298218,66.52554641234198
2022,00-0033040,T.Hill,Pass Catcher,64.06243745761115,170.0,119.0,96.0,1710.0,7.0,150.13424178260868,-86.07180432499754,2107.0,482.0,MIA,MIA,2.027021568268537,7.0,4.0,32.0,1.0,66.08945902587969,177.0,126.0,100.0,1.4686546450195488,0.3733867741575123,0.5245195160784103,0.5649717514124294,True,5,5,0.1085595301897872,4.885178858540427,1.4686546450195488,66.08945902587969,1.3600951148297615,61.20428016733926,5,,,,,,,,0.0,0.0,0.0,0.0,False,1.3600951148297615,61.20428016733926,1.4686546450195488,66.08945902587969
2022,00-0036963,A.St. Brown,Pass Catcher,57.19009879805758,146.0,106.0,88.0,1175.0,6.0,29.724224593313988,27.4658742047436,933.0,531.0,DET,DET,4.856911282578949,9.0,5.0,95.0,0.0,62.04701008063653,155.0,115.0,93.0,1.3788224462363674,0.4003032908428163,0.5395392180924916,0.6,True,6,6,0.1085595301897872,4.885178858540427,1.3788224462363674,62.04701008063653,1.27026291604658,57.1618312220961,6,,,,,,,,0.0,0.0,0.0,0.0,False,1.27026291604658,57.1618312220961,1.3788224462363674,62.04701008063653
2022,00-0036358,C.Lamb,Pass Catcher,61.797073013132525,156.0,107.0,87.0,1359.0,9.0,97.20491812808244,-35.4078451149499,1565.0,494.0,DAL,DAL,0.0597249816055407,10.0,5.0,47.0,0.0,61.85679799473807,166.0,117.0,92.0,1.3745955109941792,0.3726313132213136,0.5286905811516074,0.5542168674698795,True,7,7,0.1085595301897872,4.885178858540427,1.3745955109941792,61.85679799473807,1.266035980804392,56.97161913619764,7,,,,,,,,0.0,0.0,0.0,0.0,False,1.266035980804392,56.97161913619764,1.3745955109941792,61.85679799473807
2022,00-0036912,D.Smith,Pass Catcher,59.69536659034412,137.0,95.0,68.0,1210.0,7.0,98.48013071497552,-37.83776412463141,1315.0,490.0,PHI,PHI,0.0,0.0,0.0,0.0,0.0,59.69536659034412,137.0,95.0,68.0,1.326563702007647,0.4357326028492271,0.6283722798983592,0.4963503649635036,True,8,8,0.1085595301897872,4.885178858540427,1.326563702007647,59.69536659034412,1.2180041718178598,54.810187731803694,8,,,,,,,,0.0,0.0,0.0,0.0,False,1.2180041718178598,54.810187731803694,1.326563702007647,59.69536659034412
2022,00-0035676,A.Brown,Pass Catcher,55.87002713848922,145.0,88.0,76.0,1496.0,12.0,134.21150361181935,-78.34147647333013,1750.0,552.0,PHI,PHI,0.0,0.0,0.0,0.0,0.0,55.87002713848922,145.0,88.0,76.0,1.241556158633094,0.3853105319895808,0.6348866720282866,0.5241379310344828,True,9,9,0.1085595301897872,4.885178858540427,1.241556158633094,55.87002713848922,1.1329966284433066,50.98484827994879,9,,,,,,,,0.0,0.0,0.0,0.0,False,1.1329966284433066,50.98484827994879,1.241556158633094,55.87002713848922
2022,00-0036410,T.Higgins,Pass Catcher,54.56832947387763,110.0,74.0,71.0,1031.0,7.0,88.02923070074758,-34.51390122686994,1185.0,286.0,CIN,CIN,0.0,0.0,0.0,0.0,0.0,54.56832947387763,110.0,74.0,71.0,1.2126295438639474,0.4960757224897966,0.7374098577551031,0.6454545454545455,True,10,10,0.1085595301897872,4.885178858540427,1.2126295438639474,54.56832947387763,1.10407001367416,49.683150615337205,10,,,,,,,,0.0,0.0,0.0,0.0,False,1.10407001367416,49.683150615337205,1.2126295438639474,54.56832947387763
